Y,X
36.8063199,127.1385179
36.80700223,127.1383345
36.80693348,127.1385071
36.80638402,127.1384296
36.80628309,127.1383183
36.80617593,127.1383927
36.8053826,127.1382983
36.80547811,127.1382337
36.80566178,127.1359673
36.8057436,127.1356638
36.80585612,127.1356117
36.80640168,127.1357244
36.80647462,127.1358188
36.8065524,127.135733
36.80648244,127.1355986
36.80710442,127.1357941
36.801215,127.192259
36.801645,127.190575
36.801728,127.190612
36.80152346,127.190513
36.801614,127.166209
36.802442,127.167658
36.802515,127.167853
36.801582,127.164315
36.801442,127.164163
36.801467,127.164511
36.801584,127.164521
36.80134335,127.164536
36.803577,127.159068
36.803589,127.158757
36.80174973,127.158945
36.801095,127.159104
36.801195,127.158931
36.801207,127.159222
36.801357,127.156589
36.801406,127.156333
36.803576,127.157671
36.803554,127.154981
36.801676,127.153212
36.804476,127.152563
36.803571,127.152634
36.803541,127.152863
36.803444,127.152766
36.801786,127.153084
36.804616,127.150119
36.802095,127.150501
36.803444,127.1503001
36.808022,127.161462
36.806197,127.164307
36.806385,127.164024
36.80504139,127.161651
36.80504139,127.161653
36.806367,127.161558
36.806266,127.161153
36.80635767,127.160758
36.808405,127.161612
36.808995,127.158533
36.806336,127.159024
36.806338,127.158464
36.806577,127.158703
36.80650953,127.155928
36.806099,127.158743
36.805788,127.158613
36.808858,127.152475
36.808767,127.152563
36.809078,127.152592
36.809003,127.152691
36.806431,127.152545
36.806106,127.152254
36.806712,127.152187
36.806596,127.152095
36.806284,127.152471
36.806642,127.152336
36.806299,127.154369
36.807987,127.151008
36.808113,127.150983
36.811138,127.177093
36.81104864,127.1764516
36.813373,127.175721
36.813634,127.1855336
36.810133,127.174636
36.810816,127.165756
36.812061,127.164566
36.811852,127.164066
36.811907,127.163957
36.811431,127.1652182
36.811351,127.1652182
36.811439,127.161463
36.811524,127.161576
36.811795,127.160135
36.813705,127.161426
36.814992,127.160208
36.811026,127.158387
36.812379,127.158491
36.812213,127.158318
36.812437,127.158162
36.814546,127.1585128
36.814974,127.158407
36.812454,127.156122
36.812542,127.150509
36.812585,127.150792
36.812691,127.150626
36.812741,127.150467
36.812676,127.152915
36.813559,127.152981
36.814079,127.153017
36.814188,127.153133
36.814348,127.153039
36.814269,127.152931
36.814401,127.150629
36.814327,127.152266
36.81448157,127.150019
36.810045,127.152692
36.810192,127.152902
36.810333,127.152517
36.810469,127.152713
36.811389,127.152802
36.812362,127.152886
36.812514,127.1531718
36.812539,127.152736
36.815612,127.183178
36.815779,127.182881
36.815211,127.181308
36.815419,127.1609931
36.819507,127.159736
36.819232,127.159264
36.815215,127.158248
36.81610131,127.158396
36.815311,127.158118
36.816237,127.158111
36.816396,127.1639485
36.817209,127.158384
36.817207,127.158105
36.817341,127.158247
36.818182,127.158363
36.818183,127.158126
36.818294,127.158241
36.81913335,127.158503
36.82037489,127.158425
36.818812,127.158006
36.818988,127.158003
